id_order,state,sku
299545,Completed,OWC0094
299546,Completed,IOT0008
295347,Completed,APP0694
299549,Completed,PAC0923
299556,Completed,CRU0039-A
299561,Completed,PEB0009
299563,Completed,BEA0059
299564,Completed,SAT0004
299571,Completed,SYN0133
299578,Completed,LOG0185
299579,Completed,LGE0031-A
299586,Completed,GRT0450
299597,Completed,PEB0009
299600,Completed,APP0404
299600,Completed,LAC0199
299600,Completed,DLK0072
299608,Completed,ICA0073
299609,Completed,PAR0065
299610,Completed,APP0017
299600,Completed,PAC0486
299610,Completed,APP1208
299600,Completed,BEL0223
299623,Completed,OBL0001
299189,Completed,TUC0270
298391,Completed,PAC1588
298391,Completed,APP0656
299634,Completed,SYN0140
299637,Completed,TOS0001
299638,Completed,SYN0121
299638,Completed,WDT0177
299571,Completed,WDT0177
299634,Completed,WDT0177
297809,Completed,IFX0010
299648,Completed,PAC1375
299650,Completed,NOK0001
299655,Completed,WAC0185
299655,Completed,WAC0034
299659,Completed,THU0007
299667,Completed,WIT0018
299673,Completed,PAC0563
299664,Completed,APP0952
299674,Completed,PAC1290
299681,Completed,SPE0155
299681,Completed,APP0695
299696,Completed,KEN0206
293308,Completed,HGD0001
299704,Completed,APP0691
299706,Completed,EVU0001
299710,Completed,PHI0066
299710,Completed,PHI0073
299712,Completed,APP0602
299719,Completed,OTT0133
299719,Completed,GRT0355
299723,Completed,MAC0116
299696,Completed,SAN0106
299736,Completed,WAC0185
299737,Completed,JBL0101
299742,Completed,NEA0011
299744,Completed,APP1804
297148,Completed,APP0401
299773,Completed,OLL0009
299776,Completed,BNQ0047
299780,Completed,BEL0287
299792,Completed,SYN0140
299802,Completed,TWS0043
299803,Completed,TOS0016
299807,Completed,IFX0015
299808,Completed,LAC0175
299811,Completed,SAN0097
299815,Completed,LOG0078
299823,Completed,WAC0128
299825,Completed,LOG0078
299829,Completed,LAC0165
299833,Completed,KIN0156
299847,Completed,APP0094
299850,Completed,APP0692
299850,Completed,GRT0369
299858,Completed,LIF0089
299858,Completed,SAT0008
299859,Completed,PAC1367
299860,Completed,PAC1510
299864,Completed,OWC0153-4
299865,Completed,IFX0038
299867,Completed,SAT0044
299868,Completed,FCM0007-4
299870,Completed,BLM0010
299867,Completed,PHI0070
299879,Completed,TRK0002
299881,Completed,SAN0131
299887,Completed,SPE0136
299891,Completed,OWC0180
299895,Completed,PAR0048
299901,Completed,APP1192
299902,Completed,IOT0012
299818,Completed,TPL0004
299910,Completed,WAC0084
299909,Completed,LAC0153
299918,Completed,SEA0100
299918,Completed,SAN0093
